City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
370,Tarancon,ES,49.89,40.0085,-3.0073,hotel castilla
371,Pontypool,GB,52.0,51.7011,-3.0444,Premier Inn Pontypool hotel
374,Kahramanmaras,TR,56.03,38.0,37.0,
376,Severodvinsk,RU,42.91,64.5635,39.8302,Park Hotel
381,Ingham,US,68.18,42.6,-84.3833,Sunset Mobile Home Park
382,Bambanglipuro,ID,65.61,-7.95,110.2833,Puri Brata
383,Brae,GB,53.51,60.3964,-1.353,Busta House Hotel
384,Vila,PT,50.94,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
386,Mehamn,NO,49.95,71.0357,27.8492,Mehamn Arctic Hotel AS
387,Kanye,BW,52.66,-24.9667,25.3327,The Savanna Lodge
390,Mayskiy,RU,49.41,47.6931,40.1025,Dio Lakrua
395,Thabazimbi,ZA,60.69,-24.5917,27.4116,Eagle's Rest
396,Capao Da Canoa,BR,62.91,-29.7456,-50.0097,Hotel Araçá
402,Viedma,AR,48.88,-40.8135,-62.9967,Hotel Cristal
404,Havre,FR,50.4,49.5833,0.3333,gite bois jourdain
405,Margate,GB,54.3,51.3813,1.3862,Premier Inn Margate hotel
406,Chiredzi,ZW,65.8,-21.05,31.6667,Clevers Hotel Chiredzi
408,Severo-Kurilsk,RU,48.22,50.6789,156.125,Kak Doma
410,Corinto,GR,62.76,37.9407,22.9573,Ephira Hotel
413,Codrington,AU,53.35,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
414,Lata,PT,54.81,40.1629,-8.3327,Casa Maquia
415,La Crosse,US,66.13,43.8014,-91.2396,Holiday Inn & Suites La Crosse - Downtown
419,La Plata,AR,57.0,-34.9215,-57.9545,Hotel Corregidor
420,Talakan,RU,43.68,50.3167,130.3667,
421,Tanggu,CN,66.16,39.0211,117.6469,Ibis Tianjin Tanggu Hotel
422,Petropavlovsk-Kamchatskiy,RU,54.19,53.0452,158.6483,The Hotel Petropavlovsky
424,Richards Bay,ZA,58.17,-28.783,32.0377,BON Hotel Waterfront Richards Bay
426,Palaiokhorion,GR,61.57,40.95,24.1833,Peaceful mountain way
430,Coquimbo,CL,53.33,-29.9533,-71.3436,Punto de encuentro
431,Saint-Paul,RE,69.91,-21.0096,55.2707,Boucan Canot
433,Pictou,CA,52.59,45.6834,-62.7153,Braeside Country Inn
436,Victor Harbor,AU,59.0,-35.5667,138.6167,McCracken Country Club
438,Torrington,US,66.6,41.8007,-73.1212,The Yankee Pedlar Inn
443,Chapais,CA,41.92,49.7834,-74.8492,Hôtel Opémiska
444,Sept-Iles,CA,45.05,50.2001,-66.3821,Comfort Inn
448,Dorogobuzh,RU,43.74,54.915,33.2972,"Gostevoi dom ""BRAVO"""
454,Fort-Shevchenko,KZ,57.18,44.5086,50.263,Oasis hotel Bautino
455,Taltal,CL,61.54,-25.4,-70.4833,Residencial Karime
460,Hofn,IS,47.66,64.2539,-15.2082,Hótel Höfn
462,Havoysund,NO,50.88,70.9963,24.6622,Arctic View Glamping & Restaurant
470,Iskateley,RU,40.78,67.6803,53.1512,Hostel Agat
473,Rognan,NO,59.14,67.0953,15.3878,Rognan Hotell
474,Plettenberg Bay,ZA,50.02,-34.0527,23.3716,Thanda Vista B&B
482,Ajaccio,FR,68.16,42.0,8.9167,Sole E Monte
484,Vestmannaeyjar,IS,46.85,63.4427,-20.2734,Glamping & Camping
486,Ocampo,MX,60.48,21.65,-101.5,Casa de ratas
488,Ornskoldsvik,SE,53.42,63.2909,18.7153,ファーストホテル スタット
491,Sechura,PE,65.05,-5.5569,-80.8222,Hospedaje Costa Bella
492,Mukhen,RU,43.38,48.1,136.1,
498,Mamonovo,RU,49.95,54.4643,19.938,"Kislov V.n., M. U Mosta, Kafe, Russkaya Banya"
505,Tagab,AF,60.39,34.855,69.6492,
506,Harmanli,BG,50.94,41.9333,25.9,Prima Hotel
509,Sambava,MG,69.3,-14.2667,50.1667,Melrose
512,Skibbereen,IE,46.2,51.55,-9.2667,The West Cork Hotel
514,Antalaha,MG,69.46,-14.9003,50.2788,Hotel Vitasoa
517,Belyy,RU,43.66,55.8402,32.9419,
520,Le Port,RE,69.8,-20.9373,55.2919,KORBEY D'OR OUEST
521,Fort Frances,CA,56.16,48.5999,-93.4003,LA PLACE RENDEZ-VOUS
523,Rawson,AR,57.36,-43.3002,-65.1023,Hosteria Sampedro
524,Burnie,AU,54.68,-41.0667,145.9167,Beachfront Voyager Motor Inn
527,Smithers,CA,43.12,54.7804,-127.1743,"Prestige Hudson Bay Lodge, Premier Collection"
531,Darovskoy,RU,42.3,58.77,47.9564,"Hotel ""Central"""
533,Fengcheng,CN,61.21,40.4536,124.0717,Hanting Hotel Fengcheng Phoenix Station
535,Krasnystaw,PL,46.6,50.9846,23.1742,Internat Liceum Ogólnokształcącego nr I
537,Hami,CN,48.38,42.8,93.45,Laoyutang Resort
540,Craigieburn,AU,61.0,-37.6,144.95,Juscelina Drive
550,Kaka,TM,52.7,37.3482,59.6143,
551,Martinopolis,BR,65.52,-22.1458,-51.1708,Hotel Pousada Sollar - Martinópolis-SP
556,Pleszew,PL,50.61,51.8964,17.7855,Apartamenty Zamkowa
558,Lulea,SE,51.87,65.5842,22.1547,Comfort Hotel Arctic
563,Mayor Pablo Lagerenza,PY,62.37,-19.9309,-60.7718,
564,Zaozerne,UA,52.95,45.1582,33.2787,"Molodozhnyy Lager' ""Pioner"""
565,Green,US,69.57,40.9459,-81.4832,Fairfield Inn & Suites by Marriott Akron South
568,Khudumelapye,BW,53.67,-23.8833,24.75,
569,Farah,AF,54.23,32.5,62.5,
571,Owosso,US,67.64,42.9978,-84.1766,Comstock Inn and Conference Center
572,Ginda,IN,57.13,30.6945,78.4932,Bal uma sankar hotel and restaurant
573,Glenwood Springs,US,67.12,39.5505,-107.3248,Glenwood Springs Cedar Lodge
576,Zeya,RU,41.18,53.75,127.2667,Kapital Inn
577,Dalbandin,PK,66.09,28.8947,64.4101,Gidaan Guest House
582,Cajati,BR,68.85,-24.7361,-48.1228,Hotel Cortesia
584,Zherdevka,RU,40.15,51.8486,41.4606,Юнона
587,Visby,SE,58.86,57.6409,18.296,Best Western Solhem Hotel Visby
588,Selikhino,RU,46.13,50.3672,137.4996,Tosklivyy Dom
591,Skjervoy,NO,53.22,70.0311,20.9714,Skjervøy Byggeservice AS
592,Ambilobe,MG,66.04,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
595,Yei,SS,65.77,4.095,30.6779,City Link Hotel
596,Jinchang,CN,49.14,38.4953,102.1739,Mingshihui Jinchang International Hotel
597,Xichang,CN,66.76,27.8964,102.2634,Xichang ibis Hotel
598,Horodyshche,UA,45.77,49.2849,31.4451,Noyev Kovcheh
599,Pisco,PE,61.02,-13.7,-76.2167,Hotel San Isidro Oficial
602,Bojnurd,IR,48.15,37.4747,57.329,Homag Commercial & Social Complex
606,Bisira,PA,61.25,8.5196,-81.7115,
607,Hanyang,CN,57.25,32.1371,105.5126,Forestry Hostel
610,Naron,ES,58.66,43.5167,-8.1528,Marcial
611,Mikhaylovka,RU,43.34,50.06,43.2379,5 Komnat
613,Waipawa,NZ,55.45,-41.4122,175.5153,Tora Coastal Walk
615,Steinbach,DE,57.6,50.1667,8.5667,Mercure Hotel Frankfurt Eschborn Helfmann Park
618,Sioux Lookout,CA,55.78,50.1001,-91.917,Knobby's Fly-In Camps
619,Ayagoz,KZ,40.68,47.9714,80.4392,Gostinitsa Nur
622,Ilmajoki,FI,54.99,62.7333,22.5667,Ilmajoen Kestikartano
625,Athabasca,CA,47.08,54.7169,-113.2854,Athabasca Lodge Motel
626,Karasjok,NO,48.31,69.4719,25.5112,Karasjok camping AS
630,Bykov,RU,50.79,47.3167,142.55,
631,Moose Factory,CA,49.98,51.2585,-80.6094,Moosonee Lilypad
633,Ostrovnoy,RU,44.73,68.0531,39.5131,
636,Uruzgan,AF,55.58,32.8333,66.0,
638,Lock Haven,US,69.53,41.137,-77.4469,Fairfield Inn & Suites by Marriott Lock Haven
639,Charlottetown,CA,48.72,46.2352,-63.1267,Rodd Charlottetown
640,Erenhot,CN,46.53,43.6475,111.9767,Erenhot Rurouni Youth Hostel
642,Shaunavon,CA,62.38,49.6501,-108.4181,Bear's Den Lodge
644,Okato,NZ,62.42,-39.2,173.8833,Goodin Country Garden
646,Florianopolis,BR,69.4,-27.6146,-48.5012,Hotel Boutique Quinta das Videiras
650,Muros,ES,61.84,42.7762,-9.0603,Apartment Av. Castelao
655,Carberry,CA,62.65,49.8689,-99.3602,Carberry Motor Inn
656,Pinos Puente,ES,61.29,37.2511,-3.7497,HOTEL MONTE ELVIRA
660,Tambura,SS,67.21,5.6,27.4667,Rikito Lodge
665,Zhanakorgan,KZ,47.21,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
667,Saint Charles,US,69.17,38.7667,-90.7335,Hilton Garden Inn St. Louis/O'Fallon MO
673,Pervomayskoye,RU,60.62,43.919,46.7102,
676,Trelew,AR,57.74,-43.249,-65.3051,Hotel Touring Club
677,San Giovanni In Fiore,IT,52.27,39.2633,16.6996,Casa Federico B&B
682,Powell River,CA,59.07,49.8496,-124.5361,Rodmay Hotel
683,Adamas,GR,63.82,36.7333,24.4333,Aphrodite of Milos
685,Semenivka,UA,41.99,52.1783,32.5818,
687,Huarmey,PE,63.63,-10.0681,-78.1522,Hotel Miramar
688,San Luis,AR,53.62,-33.295,-66.3356,Huarpes Hotel
689,La Ronge,CA,53.85,55.1001,-105.2842,Northland Motor Hotel
690,Aksu,CN,48.33,41.1231,80.2644,Pudong Holiday Hotel
692,Yuksekova,TR,50.63,37.5736,44.2872,Hotel Grand Yılmaz
693,Namibe,AO,59.52,-15.1961,12.1522,Hotel Chik Chik Namibe
695,Uzventis,LT,46.47,55.7803,22.6547,"Rezaliu sodyba, Penktas sezonas"
698,Sendafa,ET,49.95,9.15,39.0333,german hotel
699,Manakara,MG,68.47,-22.1333,48.0167,La Residence Manakara
701,Peruibe,BR,68.58,-24.32,-46.9983,Hotel Pousada Xapuri
703,Baherden,TM,54.16,38.4362,57.4316,
704,Smiths Falls,CA,55.54,44.9001,-76.0161,Best Western Smiths Falls Hotel
707,Graaff-Reinet,ZA,44.92,-32.2522,24.5308,Rietjiesbos B&B
